name	leaning
www.academia.org	R
www.acting-man.com	R
www.aei.org	R
www.afpc.org	R
www.aim.org	R
www.aina.org	R
www.alec.org	R
www.americanlibertyreport.com	R
www.americanthinker.com	R
www.ammoland.com	R
www.armstrongeconomics.com	R
www.beliefnet.com	R
www.bizpacreview.com	R
www.blacknews.com	R
www.breitbart.com	R
www.calgarysun.com	R
www.campaignlifecoalition.com	R
www.campusreform.org	R
www.cbn.com	R
www.charismanews.com	R
www.chicagotribune.com	R
www.chicksontheright.com	R
www.christiannewsalerts.com	R
www.christianpost.com	R
www.chroniclesmagazine.org	R
www.citizenfreepress.com	R
www.city-journal.org	R
www.cnsnews.com	R
www.colddeadhands.us	R
www.commdiginews.com	R
www.commentarymagazine.com	R
www.conservativedailynews.com	R
www.conservativefiringline.com	R
www.conservativehq.com	R
www.conservativeinstitute.org	R
www.conservativereview.com	R
www.crisismagazine.com	R
www.dailycaller.com	R
www.dailysignal.com	R
www.dailywire.com	R
www.dallasnews.com	R
www.dcstatesman.com	R
www.defenddemocracy.org	R
www.dispatch.com	R
www.donservativedailynews.com	R
www.drudgereport.com	R
www.economicpolicyjournal.com	R
www.faithwire.com	R
www.ff.org	R
www.firstthings.com	R
www.forbes.com	R
www.foxnews.com	R
www.freedomworks.org	R
www.freerepublic.com	R
www.futureinamerica.com	R
www.g-a-i.org	R
www.gatewaypundit.com	R
www.getreligion.org	R
www.gopusa.com	R
www.grabien.com	R
www.heritage.org	R
www.hermancain.com	R
www.hotair.com	R
www.hudson.org	R
www.hurriyetdailynews.com	R
www.illinoispolicy.org	R
www.independentsentinel.com	R
www.influencewatch.org	R
www.infowars.com	R
www.intellectualtakeout.org	R
www.investors.com	R
www.jewishpolicycenter.org	R
www.jewishworldreview.com	R
www.libertyheadlines.com	R
www.libertynation.com	R
www.libertyunyielding.com	R
www.lifenews.com	R
www.lifezette.com	R
www.lyincomey.com	R
www.manhattan-institute.org	R
www.marketwatch.com	R
www.mediacircus.com	R
www.mercatornet.com	R
www.mrc.org	R
www.nationalcenter.org	R
www.nationalreview.com	R
www.nccivitas.org	R
www.newrevolutionnow.org	R
www.newsbusters.org	R
www.newsmax.com	R
www.newswithviews.com	R
www.nraila.org	R
www.numbersusa.com	R
www.nypost.com	R
www.nysun.com	R
www.oann.com	R
www.omaha.com	R
www.onenewsnow.com	R
www.opslens.com	R
www.patriotnewsalerts.com	R
www.patriotpost.us	R
www.pjmedia.com	R
www.pluralist.com	R
www.populistwire.com	R
www.post-gazette.com	R
www.powerlineblog.com	R
www.rare.us	R
www.rd.com	R
www.realclearpolitics.com	R
www.reason.com	R
www.redflagnews.com	R
www.redstate.com	R
www.resistancemedia.org	R
www.restoreamericanglory.com	R
www.ronpaulinstitute.org	R
www.ronpaullibertyreport.com	R
www.secureamericanow.org	R
www.sgtreport.com	R
www.sonsoflibertmedia.com	R
www.spectator.org	R
www.sun-sentinel.com	R
www.teapartypatriots.org	R
www.theamericanconservative.com	R
www.theblaze.com	R
www.thecollegefix.com	R
www.theconservativenut.gop	R
www.theconservativetreehouse.com	R
www.thedailyliberator.com	R
www.theepochtimes.com	R
www.thenewamerican.com	R
www.thepostmillennial.com	R
www.thetruthaboutguns.com	R
www.torontosun.com	R
www.townhall.com	R
www.trtworld.com	R
www.unionleader.com	R
www.unwatch.org	R
www.usapoliticstoday.com	R
www.vivaliberty.com	R
www.washingtonexaminer.com	R
www.washingtontimes.com	R
www.weaselzippers.us	R
www.weeklystandard.com	R
www.westernfreepress.com	R
www.westmonster.com	R
www.whatfinger.com	R
www.wnd.com	R
www.wsj.com	R
www.yaf.org	R
www.youngcons.com	R
www.thenation.com	L
www.buzzfeednews.com	L
www.vox.com	L
www.washingtonpost.com	L
www.progressive.org	L
www.nytimes.com	L
www.motherjones.com	L
www.democracynow.org	L
